喜好(电信),#genre#
四川卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221226693/51813384.smil
山西卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221225551/iptv7966.smil
贵州卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221226833/59814738.smil
青海卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221225589/iptv7985.smil
陕西卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221225755/iptv101726.smil
内蒙古卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221225591/iptv7986.smil
新疆卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221225550/iptv61197.smil
兵团卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221225753/iptv101723.smil
河北卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221226821/59781859.smil
金鹰纪实,rtsp://115.153.245.70/PLTV/88888888/224/3221226823/59781863.smil
先锋乒羽,rtsp://115.153.245.70/PLTV/88888888/224/3221226935/72307307.smil
金鹰卡通,rtsp://115.153.245.70/PLTV/88888888/224/3221226972/80382319.smil
中国教育1,rtsp://115.153.245.70/PLTV/88888888/224/3221226858/63768493.smil
炫动卡通,rtsp://115.153.245.70/PLTV/88888888/224/3221225583/iptv7982.smil
江西少儿频道,rtsp://115.153.245.70/PLTV/88888888/224/3221226938/68733921.smil
卡酷卡通,rtsp://115.153.245.70/PLTV/88888888/224/3221225566/iptv101695.smil
嘉佳卡通,rtsp://115.153.245.70/PLTV/88888888/224/3221225588/10000100000000060000000000140157_0.smil
央视台球,rtsp://115.153.245.70/PLTV/88888888/224/3221226955/86106661.smil
央视精品,rtsp://115.153.245.70/PLTV/88888888/224/3221226957/86128679.smil
欢笑剧场-4K,rtsp://115.153.245.70/PLTV/88888888/224/3221225734/10000100000000060000000000901456_0.smil
都市剧场,rtsp://115.153.245.70/PLTV/88888888/224/3221225738/10000100000000060000000000901499_0.smil
华数精彩影视,rtsp://115.153.245.70/PLTV/88888888/224/3221227052/86502219.smil
中国教育4频道,rtsp://115.153.245.70/PLTV/88888888/224/3221226905/65242632.smil
CHC高清电影,rtsp://115.153.245.70/PLTV/88888888/224/3221226990/86128784.smil
CHC家庭影院,rtsp://115.153.245.70/PLTV/88888888/224/3221226959/86128800.smil
CHC动作电影,rtsp://115.153.245.70/PLTV/88888888/224/3221226992/86128817.smil
纪实人文,rtsp://115.153.245.70/PLTV/88888888/224/3221225951/10000100000000060000000000905987_0.smil
乐游,rtsp://115.153.245.70/PLTV/88888888/224/3221227041/87703526.smil
法治天地,rtsp://115.153.245.70/PLTV/88888888/224/3221225607/iptv7994.smil
生活时尚,rtsp://115.153.245.70/PLTV/88888888/224/3221225603/iptv7992.smil
金色频道,rtsp://115.153.245.70/PLTV/88888888/224/3221225621/iptv8001.smil
财富天下,rtsp://115.153.245.70/PLTV/88888888/224/3221227068/95616594.smil
国学,rtsp://115.153.245.70/PLTV/88888888/224/3221226797/59781463.smil
动漫秀场,rtsp://115.153.245.70/PLTV/88888888/224/3221225613/iptv7997.smil
游戏风云,rtsp://115.153.245.70/PLTV/88888888/224/3221225615/iptv7998.smil
文物宝库,rtsp://115.153.245.70/PLTV/88888888/224/3221226808/59781526.smil
东方财经,rtsp://115.153.245.70/PLTV/88888888/224/3221225609/iptv7995.smil
求索纪录,rtsp://115.153.245.70/PLTV/88888888/224/3221227035/86502224.smil
茶,rtsp://115.153.245.70/PLTV/88888888/224/3221226832/59781969.smil
CCTV-1,rtsp://115.153.245.70/PLTV/88888888/224/3221225517/iptv7949.smil
江西经济生活,rtsp://115.153.245.70/PLTV/88888888/224/3221226717/53707446.smil
快乐垂钓,rtsp://115.153.245.70/PLTV/88888888/224/3221226834/59781974.smil
梨园,rtsp://115.153.245.70/PLTV/88888888/224/3221226822/59781815.smil
武术世界,rtsp://115.153.245.70/PLTV/88888888/224/3221226824/59781846.smil
汽摩,rtsp://115.153.245.70/PLTV/88888888/224/3221226819/59781852.smil
直播室101,rtsp://115.153.245.70/PLTV/88888888/224/3221226231/10000100000000060000000001398612_0.smil
直播室102,rtsp://115.153.245.70/PLTV/88888888/224/3221226208/10000100000000060000000001398613_0.smil
直播室103,rtsp://115.153.245.70/PLTV/88888888/224/3221226234/10000100000000060000000001398614_0.smil
直播室104,rtsp://115.153.245.70/PLTV/88888888/224/3221226228/10000100000000060000000001398576_0.smil
直播室105,rtsp://115.153.245.70/PLTV/88888888/224/3221226211/10000100000000060000000001398615_0.smil
直播室106,rtsp://115.153.245.70/PLTV/88888888/224/3221226237/10000100000000060000000001398616_0.smil
直播室107,rtsp://115.153.245.70/PLTV/88888888/224/3221226214/10000100000000060000000001398617_0.smil
直播室108,rtsp://115.153.245.70/PLTV/88888888/224/3221226252/10000100000000060000000001408355_0.smil
直播室109,rtsp://115.153.245.70/PLTV/88888888/224/3221226226/10000100000000060000000001408356_0.smil
直播室110,rtsp://115.153.245.70/PLTV/88888888/224/3221226255/10000100000000060000000001408357_0.smil
直播室111,rtsp://115.153.245.70/PLTV/88888888/224/3221226229/10000100000000060000000001408358_0.smil
CCTV4HD-欧洲,rtsp://115.153.245.70/PLTV/88888888/224/3221226964/77799053.smil
CCTV4HD-美洲,rtsp://115.153.245.70/PLTV/88888888/224/3221226962/77799052.smil
CGTN-英语,rtsp://115.153.245.70/PLTV/88888888/224/3221226947/77798966.smil
CGTN-英文纪录,rtsp://115.153.245.70/PLTV/88888888/224/3221226960/77798993.smil
CGTN-西班牙语,rtsp://115.153.245.70/PLTV/88888888/224/3221226949/77798970.smil
直播室201,rtsp://115.153.245.70/PLTV/88888888/224/3221226240/10000100000000060000000001398618_0.smil
直播室202,rtsp://115.153.245.70/PLTV/88888888/224/3221226217/10000100000000060000000001398619_0.smil
直播室203,rtsp://115.153.245.70/PLTV/88888888/224/3221226243/10000100000000060000000001398620_0.smil
直播室204,rtsp://115.153.245.70/PLTV/88888888/224/3221226220/10000100000000060000000001398621_0.smil
直播室205,rtsp://115.153.245.70/PLTV/88888888/224/3221226246/10000100000000060000000001398622_0.smil
直播室206,rtsp://115.153.245.70/PLTV/88888888/224/3221226223/10000100000000060000000001398623_0.smil
直播室207,rtsp://115.153.245.70/PLTV/88888888/224/3221226249/10000100000000060000000001398624_0.smil
直播室208,rtsp://115.153.245.70/PLTV/88888888/224/3221226244/10000100000000060000000001513071_0.smil
直播室209,rtsp://115.153.245.70/PLTV/88888888/224/3221226247/10000100000000060000000001513074_0.smil
直播室210,rtsp://115.153.245.70/PLTV/88888888/224/3221226258/10000100000000060000000001513078_0.smil
直播室211,rtsp://115.153.245.70/PLTV/88888888/224/3221226250/10000100000000060000000001513081_0.smil
CGTN-法语,rtsp://115.153.245.70/PLTV/88888888/224/3221226968/77799060.smil
CGTN-阿拉伯语,rtsp://115.153.245.70/PLTV/88888888/224/3221226951/77799001.smil
CGTN-俄语,rtsp://115.153.245.70/PLTV/88888888/224/3221226966/77798997.smil
CGTN,rtsp://115.153.245.70/PLTV/88888888/224/3221226694/55738457.smil
中国教育2,rtsp://115.153.245.70/PLTV/88888888/224/3221226978/85722625.smil
山东教育,rtsp://115.153.245.70/PLTV/88888888/224/3221226980/85722602.smil
厦门卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221226982/85722609.smil
三沙卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221226984/85722645.smil
第一剧场,rtsp://115.153.245.70/PLTV/88888888/224/3221226961/86128891.smil
风云音乐,rtsp://115.153.245.70/PLTV/88888888/224/3221226994/86128897.smil
风云剧场,rtsp://115.153.245.70/PLTV/88888888/224/3221226963/86128874.smil
怀旧剧场,rtsp://115.153.245.70/PLTV/88888888/224/3221226996/86128881.smil
世界地理,rtsp://115.153.245.70/PLTV/88888888/224/3221226965/86128966.smil
女性时尚,rtsp://115.153.245.70/PLTV/88888888/224/3221226998/86128978.smil
高尔夫网球,rtsp://115.153.245.70/PLTV/88888888/224/3221226967/86128985.smil
风云足球,rtsp://115.153.245.70/PLTV/88888888/224/3221227000/86128919.smil
电视指南,rtsp://115.153.245.70/PLTV/88888888/224/3221226969/86129034.smil
兵器科技,rtsp://115.153.245.70/PLTV/88888888/224/3221227004/86132185.smil
书画,rtsp://115.153.245.70/PLTV/88888888/224/3221226971/86128924.smil
新动漫,rtsp://115.153.245.70/PLTV/88888888/224/3221226973/86129004.smil
环球奇观,rtsp://115.153.245.70/PLTV/88888888/224/3221226977/86128939.smil
中华特产,rtsp://115.153.245.70/PLTV/88888888/224/3221227046/86502168.smil
四海钓鱼,rtsp://115.153.245.70/PLTV/88888888/224/3221227048/86502173.smil
车迷,rtsp://115.153.245.70/PLTV/88888888/224/3221227027/86502211.smil
生态环境,rtsp://115.153.245.70/PLTV/88888888/224/3221227029/86502215.smil
家庭理财,rtsp://115.153.245.70/PLTV/88888888/224/3221227031/86502127.smil
环球旅游,rtsp://115.153.245.70/PLTV/88888888/224/3221227033/86502177.smil
优优宝贝,rtsp://115.153.245.70/PLTV/88888888/224/3221227050/86502131.smil
中国天气,rtsp://115.153.245.70/PLTV/88888888/224/3221227056/89471929.smil
证券服务,rtsp://115.153.245.70/PLTV/88888888/224/3221227043/89471982.smil
百姓健康,rtsp://115.153.245.70/PLTV/88888888/224/3221227047/89471925.smil
天翼高清1,rtsp://115.153.245.70/PLTV/88888888/224/3221227053/92603241.smil
天翼高清2,rtsp://115.153.245.70/PLTV/88888888/224/3221227058/92603724.smil
天翼高清3,rtsp://115.153.245.70/PLTV/88888888/224/3221227060/92603730.smil
天翼高清4,rtsp://115.153.245.70/PLTV/88888888/224/3221227055/92603734.smil
天翼高清5,rtsp://115.153.245.70/PLTV/88888888/224/3221227057/92603740.smil
天翼高清6,rtsp://115.153.245.70/PLTV/88888888/224/3221227059/92603697.smil
天翼高清7,rtsp://115.153.245.70/PLTV/88888888/224/3221227062/92603770.smil
天翼高清8,rtsp://115.153.245.70/PLTV/88888888/224/3221227061/92603839.smil
天翼高清9,rtsp://115.153.245.70/PLTV/88888888/224/3221227063/92603779.smil
天翼高清10,rtsp://115.153.245.70/PLTV/88888888/224/3221227064/92603786.smil
天翼4K-15M,rtsp://115.153.245.70/PLTV/88888888/224/3221227067/92603850.smil
CCTV3(付费)高清,rtsp://115.153.245.70/PLTV/88888888/224/3221226841/63329606.smil
CCTV5(付费)高清,rtsp://115.153.245.70/PLTV/88888888/224/3221226852/63329574.smil
CCTV6(付费)高清,rtsp://115.153.245.70/PLTV/88888888/224/3221226843/63329570.smil
CCTV8(付费)高清,rtsp://115.153.245.70/PLTV/88888888/224/3221226854/63329578.smil
芒果跨年(特写),rtsp://115.153.245.70/PLTV/88888888/224/3221226956/72788191.smil
芒果跨年云监工,rtsp://115.153.245.70/PLTV/88888888/224/3221226958/72788248.smil
少儿动画,rtsp://115.153.245.70/PLTV/88888888/224/3221227006/86440922.smil
魅力时尚,rtsp://115.153.245.70/PLTV/88888888/224/3221226981/86440822.smil
热播剧场,rtsp://115.153.245.70/PLTV/88888888/224/3221227008/86440955.smil
经典电影,rtsp://115.153.245.70/PLTV/88888888/224/3221227010/86440860.smil
爱综艺,rtsp://115.153.245.70/PLTV/88888888/224/3221226983/86440966.smil
爱体育,rtsp://115.153.245.70/PLTV/88888888/224/3221227012/86440946.smil
爱电影,rtsp://115.153.245.70/PLTV/88888888/224/3221226985/86441021.smil
爱大剧,rtsp://115.153.245.70/PLTV/88888888/224/3221227014/86441032.smil
收视指南,rtsp://115.153.245.70/PLTV/88888888/224/3221226987/86440886.smil
IPTV谍战剧场,rtsp://115.153.245.70/PLTV/88888888/224/3221227016/86441085.smil
IPTV相声小品,rtsp://115.153.245.70/PLTV/88888888/224/3221226989/86441091.smil
IPTV野外,rtsp://115.153.245.70/PLTV/88888888/224/3221226991/86441042.smil
IPTV法治,rtsp://115.153.245.70/PLTV/88888888/224/3221226993/86440997.smil
城市剧场,rtsp://115.153.245.70/PLTV/88888888/224/3221227018/86441003.smil
军旅剧场,rtsp://115.153.245.70/PLTV/88888888/224/3221226995/86441107.smil
古装剧场,rtsp://115.153.245.70/PLTV/88888888/224/3221227020/86441115.smil
喜剧影院,rtsp://115.153.245.70/PLTV/88888888/224/3221226997/86441126.smil
动作影院,rtsp://115.153.245.70/PLTV/88888888/224/3221226999/86441130.smil
家庭影院,rtsp://115.153.245.70/PLTV/88888888/224/3221227022/86441136.smil
音乐现场,rtsp://115.153.245.70/PLTV/88888888/224/3221227001/86441055.smil
武侠剧场,rtsp://115.153.245.70/PLTV/88888888/224/3221227003/86441017.smil
爱生活,rtsp://115.153.245.70/PLTV/88888888/224/3221227024/86441150.smil
好学生,rtsp://115.153.245.70/PLTV/88888888/224/3221227026/86441141.smil
精选,rtsp://115.153.245.70/PLTV/88888888/224/3221227005/86441212.smil
国学,rtsp://115.153.245.70/PLTV/88888888/224/3221227028/86441216.smil
戏曲,rtsp://115.153.245.70/PLTV/88888888/224/3221227030/86441159.smil
早教,rtsp://115.153.245.70/PLTV/88888888/224/3221227007/86441065.smil
动画,rtsp://115.153.245.70/PLTV/88888888/224/3221227009/86502150.smil
鉴赏,rtsp://115.153.245.70/PLTV/88888888/224/3221227011/86502050.smil
墨宝,rtsp://115.153.245.70/PLTV/88888888/224/3221227032/86502054.smil
光影,rtsp://115.153.245.70/PLTV/88888888/224/3221227013/86502094.smil
台球,rtsp://115.153.245.70/PLTV/88888888/224/3221227034/86502060.smil
美人,rtsp://115.153.245.70/PLTV/88888888/224/3221227015/86502099.smil
武术,rtsp://115.153.245.70/PLTV/88888888/224/3221227017/86502065.smil
高网,rtsp://115.153.245.70/PLTV/88888888/224/3221227036/86502103.smil
足球,rtsp://115.153.245.70/PLTV/88888888/224/3221227019/86502107.smil
军事,rtsp://115.153.245.70/PLTV/88888888/224/3221227038/86502156.smil
地理,rtsp://115.153.245.70/PLTV/88888888/224/3221227040/86502111.smil
美妆,rtsp://115.153.245.70/PLTV/88888888/224/3221227021/86502160.smil
解密,rtsp://115.153.245.70/PLTV/88888888/224/3221227023/86502069.smil
星影,rtsp://115.153.245.70/PLTV/88888888/224/3221227042/86502073.smil
爱体育,rtsp://115.153.245.70/PLTV/88888888/224/3221227044/86502115.smil
爱上4K,rtsp://115.153.245.70/PLTV/88888888/224/3221227025/86502164.smil

江西移动,#genre#
CCTV-1,http://39.137.49.76:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV-1高清8M,http://39.137.49.76:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV-2,http://39.137.49.76:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV-2高清8M,http://39.137.49.76:8080/PLTV/88888910/224/3221225643/index.m3u8
CCTV3(4M),http://39.137.49.76:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV3(8M),http://39.137.49.76:8080/PLTV/88888910/224/3221225634/index.m3u8
CCTV-4,http://39.137.49.76:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV5(4M),http://39.137.49.76:8080/PLTV/88888910/224/3221225648/index.m3u8
CCTV5(8M),http://39.137.49.76:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV5PLUS,http://39.137.49.76:8080/PLTV/88888910/224/3221225649/index.m3u8
CCTV6(4M),http://39.137.49.76:8080/PLTV/88888910/224/3221225650/index.m3u8
CCTV6(8M),http://39.137.49.76:8080/PLTV/88888910/224/3221225632/index.m3u8
CCTV-7,http://39.137.49.76:8080/PLTV/88888910/224/3221225624/index.m3u8
CCTV-7高清8M,http://39.137.49.76:8080/PLTV/88888910/224/3221225644/index.m3u8
CCTV8(4M),http://39.137.49.76:8080/PLTV/88888910/224/3221225635/index.m3u8
CCTV8(8M),http://39.137.49.76:8080/PLTV/88888910/224/3221225631/index.m3u8
CCTV-9(英),http://39.137.49.76:8080/PLTV/88888910/224/3221225645/index.m3u8
CCTV-9,http://39.137.49.76:8080/PLTV/88888910/224/3221225626/index.m3u8
CCTV-9高清,http://39.137.49.76:8080/PLTV/88888910/224/3221225646/index.m3u8
CCTV-10,http://39.137.49.76:8080/PLTV/88888910/224/3221225627/index.m3u8
CCTV-10高清,http://39.137.49.76:8080/PLTV/88888910/224/3221225636/index.m3u8
CCTV-11,http://39.137.49.76:8080/PLTV/88888910/224/3221225628/index.m3u8
CCTV-12,http://39.137.49.76:8080/PLTV/88888910/224/3221225629/index.m3u8
CCTV-12高清,http://39.137.49.76:8080/PLTV/88888910/224/3221225637/index.m3u8
CCTV-13,http://39.137.49.76:8080/PLTV/88888910/224/3221225638/index.m3u8
CCTV-14,http://39.137.49.76:8080/PLTV/88888910/224/3221225639/index.m3u8
CCTV-14高清,http://39.137.49.76:8080/PLTV/88888910/224/3221225640/index.m3u8
CCTV-15,http://39.137.49.76:8080/PLTV/88888910/224/3221225641/index.m3u8
CCTV-16高清,http://39.137.49.76:8080/PLTV/88888910/224/3221226230/index.m3u8
CCTV17农业农村高清,http://39.137.49.76:8080/PLTV/88888910/224/3221225908/index.m3u8
CCTV-3综艺[高清],http://39.137.49.76:8080/PLTV/88888888/224/3221226256/615272046.smil/index.m3u8
CCTV5PLUS高清8M,http://39.137.49.76:8080/PLTV/88888910/224/3221225706/index.m3u8
CCTV-5体育[高清],http://39.137.49.76:8080/PLTV/88888888/224/3221226259/615270782.smil/index.m3u8
CCTV-6电影[高清],http://39.137.49.76:8080/PLTV/88888888/224/3221226255/615273516.smil/index.m3u8
CCTV-8电视剧[高清],http://39.137.49.76:8080/PLTV/88888888/224/3221226258/615273606.smil/index.m3u8
CNC中文,http://39.137.49.76:8080/PLTV/88888910/224/3221225694/index.m3u8
CNC英文,http://39.137.49.76:8080/PLTV/88888910/224/3221225693/index.m3u8
NewTV电竞,http://39.137.49.76:8080/PLTV/88888910/224/3221225653/index.m3u8
上海纪实HD,http://39.137.49.76:8080/PLTV/88888910/224/3221225654/index.m3u8
上海纪实高清8M,http://39.137.49.76:8080/PLTV/88888910/224/3221225655/index.m3u8
世界搏击,http://39.137.49.76:8080/PLTV/88888910/224/3221225656/index.m3u8
东南卫视,http://39.137.49.76:8080/PLTV/88888910/224/3221225657/index.m3u8
东方卫视,http://39.137.49.76:8080/PLTV/88888910/224/3221225658/index.m3u8
东方卫视高清8M,http://39.137.49.76:8080/PLTV/88888910/224/3221225659/index.m3u8
中国功夫,http://39.137.49.76:8080/PLTV/88888910/224/3221225660/index.m3u8
中国教育-1,http://39.137.49.76:8080/PLTV/88888910/224/3221225661/index.m3u8
云南卫视,http://39.137.49.76:8080/PLTV/88888910/224/3221225664/index.m3u8
优漫卡通,http://39.137.49.76:8080/PLTV/88888910/224/3221225665/index.m3u8
健康有约,http://39.137.49.76:8080/PLTV/88888910/224/3221225666/index.m3u8
内蒙古卫视,http://39.137.49.76:8080/PLTV/88888910/224/3221225667/index.m3u8
军旅剧场,http://39.137.49.76:8080/PLTV/88888910/224/3221225669/index.m3u8
农业致富,http://39.137.49.76:8080/PLTV/88888910/224/3221225670/index.m3u8
动画王国,http://39.137.49.76:8080/PLTV/88888910/224/3221225672/index.m3u8
北京卫视,http://39.137.49.76:8080/PLTV/88888910/224/3221225673/index.m3u8
北京卫视高清8M,http://39.137.49.76:8080/PLTV/88888910/224/3221225674/index.m3u8
北京纪实HD,http://39.137.49.76:8080/PLTV/88888910/224/3221225675/index.m3u8
北京纪实高清8M,http://39.137.49.76:8080/PLTV/88888910/224/3221225676/index.m3u8
卡酷少儿,http://39.137.49.76:8080/PLTV/88888910/224/3221225677/index.m3u8
古装剧场,http://39.137.49.76:8080/PLTV/88888910/224/3221225678/index.m3u8
吉安吉州卫视,http://39.137.49.76:8080/PLTV/88888910/224/3221225679/index.m3u8
吉林卫视,http://39.137.49.76:8080/PLTV/88888910/224/3221225680/index.m3u8
四川卫视,http://39.137.49.76:8080/PLTV/88888910/224/3221225733/index.m3u8
天津卫视,http://39.137.49.76:8080/PLTV/88888910/224/3221225739/index.m3u8
天津卫视高清8M,http://39.137.49.76:8080/PLTV/88888910/224/3221225698/index.m3u8
宁夏卫视,http://39.137.49.76:8080/PLTV/88888910/224/3221225726/index.m3u8
安徽卫视,http://39.137.49.76:8080/PLTV/88888910/224/3221225737/index.m3u8
安徽卫视高清8M,http://39.137.49.76:8080/PLTV/88888910/224/3221225691/index.m3u8
家庭剧场,http://39.137.49.76:8080/PLTV/88888910/224/3221225713/index.m3u8
山东卫视,http://39.137.49.76:8080/PLTV/88888910/224/3221225738/index.m3u8
山东卫视高清8M,http://39.137.49.76:8080/PLTV/88888910/224/3221225697/index.m3u8
山东教育,http://39.137.49.76:8080/PLTV/88888910/224/3221225719/index.m3u8
山西卫视,http://39.137.49.76:8080/PLTV/88888910/224/3221225730/index.m3u8
广东卫视,http://39.137.49.76:8080/PLTV/88888910/224/3221225742/index.m3u8
广东卫视高清8M,http://39.137.49.76:8080/PLTV/88888910/224/3221225701/index.m3u8
广西卫视,http://39.137.49.76:8080/PLTV/88888910/224/3221225731/index.m3u8
新疆卫视,http://39.137.49.76:8080/PLTV/88888910/224/3221225725/index.m3u8
旅游卫视,http://39.137.49.76:8080/PLTV/88888910/224/3221225722/index.m3u8
明星大片,http://39.137.49.76:8080/PLTV/88888910/224/3221225716/index.m3u8
江苏卫视,http://39.137.49.76:8080/PLTV/88888910/224/3221225743/index.m3u8
江苏卫视高清8M,http://39.137.49.76:8080/PLTV/88888910/224/3221225702/index.m3u8
江西卫视,http://39.137.49.76:8080/PLTV/88888910/224/3221225746/index.m3u8
江西卫视高清8M,http://39.137.49.76:8080/PLTV/88888910/224/3221225705/index.m3u8
河北卫视,http://39.137.49.76:8080/PLTV/88888910/224/3221225732/index.m3u8
浙江卫视,http://39.137.49.76:8080/PLTV/88888910/224/3221225744/index.m3u8
浙江卫视高清8M,http://39.137.49.76:8080/PLTV/88888910/224/3221225703/index.m3u8
